,Patterns,Tags
289,Quels sont les critères pour accéder à une formation? ,recrutement_IA_MICROSOFT
290,Je possède un titre de séjour,recrutement_IA_MICROSOFT
291,pôle emploi,recrutement_IA_MICROSOFT
292,je suis demandeur d'emploi,recrutement_IA_MICROSOFT
293, grande école du numérique,recrutement_IA_MICROSOFT
294,Est ce qu'il faut un diplome pour entrer dans une formation? ,recrutement_IA_MICROSOFT
295,Quel niveau d'étude faut-il pour être admis ?,recrutement_IA_MICROSOFT
296,Quels sont les prérequis ?,recrutement_IA_MICROSOFT
297,Que faut-il pour être admis ?,recrutement_IA_MICROSOFT
298,Quel est le niveau des apprenants?,recrutement_IA_MICROSOFT
299,Quel genre d'élèves recrutez-vous ?,recrutement_IA_MICROSOFT
300,Quel est le niveau des étudiants ?,recrutement_IA_MICROSOFT
301,Vos élèves savent-ils programmer avant de démarrer la formation ?,recrutement_IA_MICROSOFT
302,Combien de temps dure la formation?,duree_IA_MICROSOFT
303,Quelle est la durée de la formation ?,duree_IA_MICROSOFT
304,Combien de temps dure l'alternance ? ,duree_IA_MICROSOFT
305,Quand débute la prochaine session ?,duree_IA_MICROSOFT
306,Quand sera la prochaine rentrée ?,duree_IA_MICROSOFT
307,Combien de temps ça dure ?,duree_IA_MICROSOFT
308,Temps que ça prend,duree_IA_MICROSOFT
309,Ca prend combien de temps ?,duree_IA_MICROSOFT
310,ça dure longtemps?,duree_IA_MICROSOFT
311,Combien cela coûte-t-il?,cout_IA_MICROSOFT
312,Quel est le cout de la formation? ,cout_IA_MICROSOFT
313,A combien s'élève l'apport financier?,cout_IA_MICROSOFT
314,Est-il possible d'obtenir une aide financière?,cout_IA_MICROSOFT
315,Comment est financée la formation?,cout_IA_MICROSOFT
316,Quel est le prix du cours ?,cout_IA_MICROSOFT
317,Quel est le tarif de la classe?,cout_IA_MICROSOFT
318,combien ça coûte ?,cout_IA_MICROSOFT
319,est-ce que c'est cher ?,cout_IA_MICROSOFT
320,je ne peux pas me permettre cette école,cout_IA_MICROSOFT
321,je n'ai pas de revenus,cout_IA_MICROSOFT
322,combien ça coute?,cout_IA_MICROSOFT
323,c'est cher ?,cout_IA_MICROSOFT
324,ça coute cher?,cout_IA_MICROSOFT
325,Où se déroulent les cours?,localisation_IA_MICROSOFT
326,La formation se passe-t-elle en présentiel ou en distanciel?,localisation_IA_MICROSOFT
327,Où êtes-vous situés?,localisation_IA_MICROSOFT
328,Dans quel coin de Brest êtes-vous?,localisation_IA_MICROSOFT
329,Où pouvons-nous vous rencontrer ?,localisation_IA_MICROSOFT
330,A quel endroit se déroulent les cours?,localisation_IA_MICROSOFT
331,où est ce que ça se passe?,localisation_IA_MICROSOFT
332,Dans quelle ville êtes-vous ?,localisation_IA_MICROSOFT
333,Dans quelle partie de la France se déroule la formation? ,localisation_IA_MICROSOFT
334,C'est en Bretagne?,localisation_IA_MICROSOFT
335,la formation est à Brest?,localisation_IA_MICROSOFT
336,Les classes ont lieu à Brest même ?,localisation_IA_MICROSOFT
337,La formation est-elle individuelle?,teamwork_IA_MICROSOFT
338,Les travaux se font-ils en groupe ?,teamwork_IA_MICROSOFT
339,Y a t-il des équipes de travail ?,teamwork_IA_MICROSOFT
340,Comment se réalisent les projets ?,teamwork_IA_MICROSOFT
341,Est-ce que l'on travaille en groupe ?,teamwork_IA_MICROSOFT
342,Est ce que l'on travaille seul? ,teamwork_IA_MICROSOFT
343,Les projets se réalisent ils à plusieurs?,teamwork_IA_MICROSOFT
344,Tous les projets sont-ils en équipe?,teamwork_IA_MICROSOFT
345,Peut-on travailler seul parfois?,teamwork_IA_MICROSOFT
346,Les validations de projets sont communes pour l'ensemble de l'équipe?,teamwork_IA_MICROSOFT
347,Et si une personne fait tout le travail?,teamwork_IA_MICROSOFT
348,Et si une personne ne participe pas au projet ?,teamwork_IA_MICROSOFT
349,Comment sont évaluées les compétences lors d'un travail en équipe ?,teamwork_IA_MICROSOFT
350,Les partenaires interviennent t-ils dans la validation globale des compétences des apprenants?,teamwork_IA_MICROSOFT
351,Si on ne veut pas participer au travail en équipe que se passe t'il ?,teamwork_IA_MICROSOFT
352,Une période de cohésion d'équipe est-elle prévue en début de cycle?,teamwork_IA_MICROSOFT
353,Comment se passe l'évaluation ?,evaluation_IA_MICROSOFT
354,Le travail est-il noté?,evaluation_IA_MICROSOFT
355,Quel est le système d'évaluation ?,evaluation_IA_MICROSOFT
356,Il y a t il un système de compétences ?,evaluation_IA_MICROSOFT
357,Quel est le système d'évaluation ?,evaluation_IA_MICROSOFT
358,Comment se passe la validation du diplôme ?,evaluation_IA_MICROSOFT
359,Les élèves sont ils évalués ?,evaluation_IA_MICROSOFT
360,Est-ce qu'on a des notes ?,evaluation_IA_MICROSOFT
361,Est-ce qu'on sera noté?,evaluation_IA_MICROSOFT
362,Quel est l'intitulé de la certification ?,certification_IA_MICROSOFT
363,Quel est le niveau du diplôme obtenu ?,certification_IA_MICROSOFT
364,Quel est le type de diplôme obtenu ?,certification_IA_MICROSOFT
365,A quel métier prépare cette formation?,certification_IA_MICROSOFT
366,Travaille-t-on sur Microsoft Azure ?,certification_IA_MICROSOFT
367,Quelles sont les certifications passées,certification_IA_MICROSOFT
368,Quels dipomes obtient ont ?,certification_IA_MICROSOFT
369,Quel diplôme obtient-on ?,certification_IA_MICROSOFT
370,La formation est-elle certifiante ?,certification_IA_MICROSOFT
371,La formation est-elle diplômante ?,certification_IA_MICROSOFT
372,Quel est le niveau d'étude en sortie de la formation ?,certification_IA_MICROSOFT
373,Est-ce qu'on obtient une licence ?,certification_IA_MICROSOFT
374,Quelles sont les valeurs de l'école ?,inclusion_IA_MICROSOFT
375,Quelle est votre vision du handicap ?,inclusion_IA_MICROSOFT
376,Quelle est votre position vis à vis du handicap ?,inclusion_IA_MICROSOFT
377,Quel sont les aides et outils mis en place pour les personnes neuroatypiques ?,inclusion_IA_MICROSOFT
378,"J'ai un handicap, puis-je postuler quand même ?",inclusion_IA_MICROSOFT
379,Pratiquez-vous l'inclusion? ,inclusion_IA_MICROSOFT
380,suffit Simplon.co fait une discrimination positive ,inclusion_IA_MICROSOFT
381,Simlon.co fait une discrimination positive ,inclusion_IA_MICROSOFT
382,inclusion dans le numérique,inclusion_IA_MICROSOFT
383,Y a-t-il des hébergements étudiants ?,logement_IA_MICROSOFT
384,Puis-je avoir une chambre en cité universitaire ?,logement_IA_MICROSOFT
385,Est-ce qu'il y a des logements étudiants ?,logement_IA_MICROSOFT
386,Faut-il habiter sur Brest ?,logement_IA_MICROSOFT
387,Y a-t-il des solutions pour dormir sur Brest ?,logement_IA_MICROSOFT
388,est-ce qu'un hébergement est proposé?,logement_IA_MICROSOFT
389,comment puis-je trouver un logement ?,logement_IA_MICROSOFT
390,proposez vous des colocations?,logement_IA_MICROSOFT
391,Aurais-je de l'aide pour me loger ?,logement_IA_MICROSOFT
392,Est ce que je serais logé en Cité U,logement_IA_MICROSOFT
393,Aurais-je le droit d'être en résidence universitaire?,logement_IA_MICROSOFT
394,Le contrat en alternance est-il systématique?,alternance_IA_MICROSOFT
395,Des périodes de stages sont-elles prévues lors de la période intensive?,alternance_IA_MICROSOFT
396,Comment sont faites les attributions des entreprises ?,alternance_IA_MICROSOFT
397,Est-on seul dans son entreprise ?,alternance_IA_MICROSOFT
398,Sommes-nous à plusieurs dans les entreprises ?,alternance_IA_MICROSOFT
399,rencontrons-nous les entreprises avant le début de la formation ?,alternance_IA_MICROSOFT
400,"Combien de fois, allons nous en entreprise avant le début de l'alternance?",alternance_IA_MICROSOFT
401,Le tuteur est-il obligatoirement un expert métier ?,alternance_IA_MICROSOFT
402,Faut-il chercher son alternance?,alternance_IA_MICROSOFT
403,Est-ce que c'est dur de trouver son entreprise?,alternance_IA_MICROSOFT
404,dois-je chercher une entreprise tout seul ?,alternance_IA_MICROSOFT
405,Comment ça se passe pour l'alternance ?,alternance_IA_MICROSOFT
406,est ce que je peux choisir mon alternance ?,alternance_IA_MICROSOFT
407,Les cours sont-ils assurés par les équipes partenaires?,formateurs_IA_MICROSOFT
408,Des intervenants extérieurs participent-ils au cursus de formation?,formateurs_IA_MICROSOFT
409,Les  intervenants sont-ils des profs de l'ISEN ?,formateurs_IA_MICROSOFT
410,Est-ce que les formateurs sont un partenariat prof/entreprises?,formateurs_IA_MICROSOFT
411,Qui sont les formateurs ?,formateurs_IA_MICROSOFT
412,est ce des cours descendants  ?,formateurs_IA_MICROSOFT
413,Les entreprises partenaires ont-elles des heures de formation obligatoires?,formateurs_IA_MICROSOFT
414,Le programme est-il validé ou imposé par les partenaires ?,formateurs_IA_MICROSOFT
415,Les formateurs sont-ils des personnes de Simplon ou Microsoft,formateurs_IA_MICROSOFT
416,qui sont les profs?,formateurs_IA_MICROSOFT
417,les professeurs sont-ils tous des experts IA ?,formateurs_IA_MICROSOFT
418,les enseignants sont-ils tous des codeurs?,formateurs_IA_MICROSOFT
419,les profs donnent ils des cours magistraux ?,formateurs_IA_MICROSOFT
420,Les PC sont-ils fournis dans le cadre de la formation?,materiel_IA_MICROSOFT
421,Quel matériel dois-je avoir pour suivre la formation?,materiel_IA_MICROSOFT
422,Faut-il avoir un PC pour suivre la formation?,materiel_IA_MICROSOFT
423,L'entreprise nous fournit-elle un ordinateur lors de la formation?,materiel_IA_MICROSOFT
424,Faut-il prévoir l'achat d'un ordinateur et/ou une imprimante?,materiel_IA_MICROSOFT
425,Le matériel fournit  nous appartient-il?,materiel_IA_MICROSOFT
426,Un ordinateur est-il indispensable?,materiel_IA_MICROSOFT
427,Peut-on utiliser son ordinateur personnel pendant la formation?,materiel_IA_MICROSOFT
428,Est-ce que l'on nous prête un ordinateur le temps de la formation?,materiel_IA_MICROSOFT
429,La formation a t'elle été maintenue pendant le confinement?,confinement_IA_MICROSOFT
430,Les cours sont-ils dispensés pendant le confinement?,confinement_IA_MICROSOFT
431,La pédagogie active est-elle maintenue pendant le confinement?,confinement_IA_MICROSOFT
432,Le travail en équipe est-il possible à distance?,confinement_IA_MICROSOFT
433,learning by teaching est-il envisageable pendant le confinement?,confinement_IA_MICROSOFT
434,L'évaluation des compétences est-elle possible pendant le confinement?,confinement_IA_MICROSOFT
435,Les contrats de professionnalisation continuent-ils pendant le confinement?,confinement_IA_MICROSOFT
436,Y'a t'il du présentiel et du distanciel pendant le confinement?,confinement_IA_MICROSOFT
437,Les partenariats avec les entreprises souffrent-ils du confinement,confinement_IA_MICROSOFT
438,C'est quoi la pédagogie active?,pédagogie_IA_MICROSOFT
439,Quelle différence entre pédagogie active et cours descendant?,pédagogie_IA_MICROSOFT
440,La pédagogie active est-elle accessible à tous?,pédagogie_IA_MICROSOFT
441,Quel est l'intérêt de la pédagogie active?,pédagogie_IA_MICROSOFT
442,Quel type d'enseignement est délivré pendant la formation?,pédagogie_IA_MICROSOFT
443,Quelle est la méthode de formation?,pédagogie_IA_MICROSOFT
444,C'est quoi une journée de cours typique?,pédagogie_IA_MICROSOFT
445,Quel est l'objectif de la pédagie active?,pédagogie_IA_MICROSOFT
446,doit-on faire des recherches,pédagogie_IA_MICROSOFT
447,quel est le format des cours?,pédagogie_IA_MICROSOFT
448,comment sont donnés les cours?,pédagogie_IA_MICROSOFT
449,Quel genre de pédagogie est utilisée?,pédagogie_IA_MICROSOFT
450,Qui êtes-vous,presentation_IA_MICROSOFT
451,Quel genre d'école est-ce ?,presentation_IA_MICROSOFT
452,Qu'est-ce que l'école Microsoft-IA By Simplon ?,presentation_IA_MICROSOFT
453,Que proposez-vous ?,presentation_IA_MICROSOFT
454,Quelle genre d'école est Simplon?,presentation_IA_MICROSOFT
455,Quelle est votre activité?,presentation_IA_MICROSOFT
456,Que faites-vous?,presentation_IA_MICROSOFT
457,En quoi consiste votre école?,presentation_IA_MICROSOFT
458,Expliquez moi ce qu'est Simplon,presentation_IA_MICROSOFT
459,parlez moi de vous,presentation_IA_MICROSOFT
460,parlez moi de l'école,presentation_IA_MICROSOFT
461,Comment se passent les entretiens ?,entretiens_IA_MICROSOFT
462,Comment sont départagées les candidatures ?,entretiens_IA_MICROSOFT
463,Qui sont les meilleurs candidats ?,entretiens_IA_MICROSOFT
464,Qui a le plus de chances d'être admis ?,entretiens_IA_MICROSOFT
465,en quoi consistent les entretiens?,entretiens_IA_MICROSOFT
466,comment se passe l'examen d'entrée ?,entretiens_IA_MICROSOFT
467,y a t  il un test d'entrée ?,entretiens_IA_MICROSOFT
468,Est ce qu'il y a un test de niveau ?,entretiens_IA_MICROSOFT
469,est-ce que c'est un concours?,entretiens_IA_MICROSOFT
470,existe t il un examen pour intégrer l'école ?,entretiens_IA_MICROSOFT
471,Quels sont les métiers visés par les formations ?,emploi_IA_MICROSOFT
472,les différents métiers de la formartion? ,emploi_IA_MICROSOFT
473,Quels sont les métiers qui sont préparés ? ,emploi_IA_MICROSOFT
474,Les opportunités d'emploi avec une formation ?,emploi_IA_MICROSOFT
475,a quel poste puis-je prétendre après la formation?,emploi_IA_MICROSOFT
476,dans quel secteur puis-je me faire recruter?,emploi_IA_MICROSOFT
477,quel métier pourrais-je faire après?,emploi_IA_MICROSOFT
478,a quel poste puis-je postuler avec le diplome?,emploi_IA_MICROSOFT
479,quelles sont les opportunités d'emploi en sortie ?,emploi_IA_MICROSOFT
480,dev data IA,emploi_IA_MICROSOFT
481,est-il facile d'obtenir un emploi ?,emploi_IA_MICROSOFT
482,trouverais-je du travail facilement après la formation?,emploi_IA_MICROSOFT
483,suis-je garantie de trouver un travail après la formation?,emploi_IA_MICROSOFT
484,Quelles technologies sont exploitées? ,technologie_IA_MICROSOFT
485,Quelles technologiques sont utilisées? ,technologie_IA_MICROSOFT
486,Les différentes technologies,technologie_IA_MICROSOFT
487,Java,technologie_IA_MICROSOFT
488,Python,technologie_IA_MICROSOFT
489,Web,technologie_IA_MICROSOFT
490,Les langages qui seront vus dans la formation ?,technologie_IA_MICROSOFT
491,quel système d'exploitation sera utilisé?,technologie_IA_MICROSOFT
492,quels langages sont enseignés?,technologie_IA_MICROSOFT
493,quelles techno utilisez vous?,technologie_IA_MICROSOFT
494,Quels sont les actionnaires principaux? ,actionnaires_IA_MICROSOFT
495,Quoi sont les principaux actionnaires? ,actionnaires_IA_MICROSOFT
496,Quels sont les principaux actionnaires des actionnaires? ,actionnaires_IA_MICROSOFT
497,Quels sont les actionnaires ? ,actionnaires_IA_MICROSOFT
